pk_calendario,ano,trimestre,trimestre_descr_curta,trimestre_descr_longa
20082,2008,2,2º,2º Trimestre
20084,2008,4,4º,4º Trimestre
20101,2010,1,1º,1º Trimestre
20103,2010,3,3º,3º Trimestre
20112,2011,2,2º,2º Trimestre
20123,2012,3,3º,3º Trimestre
20143,2014,3,3º,3º Trimestre
20164,2016,4,4º,4º Trimestre
20191,2019,1,1º,1º Trimestre
20201,2020,1,1º,1º Trimestre
20202,2020,2,2º,2º Trimestre
20203,2020,3,3º,3º Trimestre
20211,2021,1,1º,1º Trimestre
20212,2021,2,2º,2º Trimestre
20213,2021,3,3º,3º Trimestre
20214,2021,4,4º,4º Trimestre
