pk_cnpj,nome_instituicao,codigo_grupo,descr_grupo
14388334,PARANÁ BANCO S.A.,1,Bancos privados
2801938,BANCO MORGAN STANLEY S.A.,1,Bancos privados
60394079,BANCO ITAUBANK S.A.,1,Bancos privados
7450604,CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A,1,Bancos privados
33147315,BANCO BRADESCO BERJ S.A.,1,Bancos privados
10690848,BANCO DA CHINA BRASIL S.A.,1,Bancos privados
17192451,BANCO ITAUCARD S.A.,1,Bancos privados
3012230,HIPERCARD BANCO MÚLTIPLO S.A.,1,Bancos privados
556603,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,1,Bancos privados
2318507,BANCO KEB HANA DO BRASIL S.A.,1,Bancos privados
61820817,BANCO PAULISTA S.A.,1,Bancos privados
3323840,BANCO ALFA S.A.,1,Bancos privados
17184037,BANCO MERCANTIL DO BRASIL S.A.,1,Bancos privados
558456,BANCO CETELEM S.A.,1,Bancos privados
50585090,BCV - BANCO DE CRÉDITO E VAREJO S.A.,1,Bancos privados
2658435,BANCO CATERPILLAR S.A.,1,Bancos privados
10371492,BANCO YAMAHA MOTOR DO BRASIL S.A.,1,Bancos privados
8609934,MONEYCORP BANCO DE CÂMBIO S.A.,1,Bancos privados
61533584,BANCO SOCIETE GENERALE BRASIL S.A.,1,Bancos privados
28811341,STONEX BANCO DE CÂMBIO S.A.,1,Bancos privados
59285411,BANCO PAN S.A.,1,Bancos privados
997185,BANCO B3 S.A.,1,Bancos privados
60701190,ITAÚ UNIBANCO S.A.,1,Bancos privados
3502961,BANCO PSA FINANCE BRASIL S.A.,1,Bancos privados
9526594,BANCO VIPAL S.A.,1,Bancos privados
13720915,BANCO WESTERN UNION DO BRASIL S.A.,1,Bancos privados
33132044,BANCO CEDULA S.A.,1,Bancos privados
4866275,BANCO INBURSA S.A.,1,Bancos privados
54403563,BANCO ARBI S.A.,1,Bancos privados
11476673,BANCO RANDON S.A.,1,Bancos privados
3609817,BANCO CARGILL S.A.,1,Bancos privados
4332281,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.,1,Bancos privados
17453575,ICBC DO BRASIL BANCO MÚLTIPLO S.A.,1,Bancos privados
31597552,BANCO CLASSICO S.A.,1,Bancos privados
33603457,BANCO RODOBENS S.A.,1,Bancos privados
