fk_cnpj,fk_calendario,quantidade_reclamacoes_reguladas_procedentes,quantidade_reclamacoes_reguladas_outras,quantidade_reclamacoes_nao_reguladas,quantidade_total_reclamacoes,quantidade_total_clientes_ccs_e_scr,quantidade_clientes_ccs,quantidade_clientes_scr
122327,20201,3,3,2,8,14676,765.0,13911.0
122327,20203,2,3,0,5,14244,718.0,13526.0
411939,20201,0,0,6,6,100768,1869.0,98981.0
411939,20202,0,0,6,6,97339,1771.0,95637.0
517645,20202,1,0,1,2,4865,4592.0,2892.0
795423,20201,0,1,1,2,260283,2973.0,257423.0
795423,20202,0,3,4,7,255199,2832.0,252479.0
1023570,20214,0,1,0,1,3933,3748.0,1744.0
1800019,20201,19,60,32,111,252491,3783.0,248712.0
1800019,20202,14,17,30,61,251875,3783.0,248096.0
2658435,20201,1,0,0,1,2872,0.0,2872.0
2992446,20201,0,0,1,1,26616,1233.0,25709.0
2992446,20202,1,0,5,6,26121,1239.0,25195.0
3215790,20201,5,5,8,18,182525,15287.0,168415.0
3215790,20202,8,5,43,56,175692,15287.0,161520.0
3311443,20202,0,1,0,1,1009,0.0,1009.0
3532415,20201,0,0,1,1,227,194.0,42.0
3532415,20203,0,0,1,1,140,104.0,43.0
3881423,20201,0,0,8,8,5969,3124.0,2845.0
3881423,20202,4,2,6,12,5517,2824.0,2694.0
4230630,20201,2,4,2,8,127758,0.0,127758.0
4230630,20202,0,3,5,8,125684,0.0,125684.0
4379829,20201,1,2,0,3,582196,665.0,581531.0
4379829,20202,1,1,0,2,580365,670.0,579695.0
4866275,20201,1,1,4,6,11309,9.0,11301.0
4866275,20202,1,0,2,3,11904,7.0,11897.0
4902979,20201,2,3,4,9,509203,448523.0,153961.0
4902979,20202,2,5,12,19,508852,448971.0,152171.0
4913711,20201,16,15,20,51,733076,704863.0,281553.0
4913711,20202,15,19,25,59,772617,719581.0,309266.0
5040481,20202,0,0,2,2,35889,2.0,35887.0
5192316,20201,1,0,0,1,441930,993.0,440939.0
5192316,20202,4,1,1,6,414053,993.0,413062.0
5503849,20201,3,1,1,5,29726,1220.0,28507.0
5503849,20202,7,1,4,12,29536,1243.0,28294.0
5676026,20203,0,1,0,1,277460,0.0,277460.0
6040559,20201,0,1,0,1,260710,4.0,260706.0
6040559,20202,0,1,0,1,265138,4.0,265135.0
6339468,20203,0,0,1,1,110696,1.0,110695.0
7237373,20201,18,9,32,59,7989745,7402656.0,2950060.0
7237373,20202,7,23,44,74,8061030,7476513.0,2934554.0
7441209,20201,0,0,1,1,1240,6.0,1237.0
7441209,20202,1,0,0,1,1234,4.0,1232.0
7679404,20201,3,1,3,7,21862,16221.0,8903.0
7679404,20202,0,0,2,2,21801,16650.0,8096.0
7747410,20201,6,4,0,10,797529,0.0,797529.0
7747410,20202,5,4,7,16,809031,0.0,809031.0
8357240,20201,92,103,107,302,7400252,0.0,7400252.0
8357240,20202,122,143,122,387,7350474,0.0,7350474.0
9313766,20201,2,2,1,5,64401,55868.0,18531.0
9313766,20202,2,3,2,7,63739,56525.0,12876.0
9464032,20201,63,108,81,252,11541042,45.0,11541025.0
9464032,20202,35,135,107,277,11177083,77.0,11177064.0
9473806,20203,0,0,1,1,36019,4.0,36015.0
9526594,20201,0,0,1,1,436,4.0,432.0
10264663,20201,0,3,0,3,192087,190124.0,1963.0
10690848,20211,0,1,0,1,469,452.0,32.0
11271860,20201,1,0,0,1,219567,3.0,219564.0
11285104,20202,0,0,3,3,10899,10.0,10889.0
11970623,20201,0,2,0,2,78008,76.0,77937.0
12865507,20213,0,0,1,1,6482,715.0,5970.0
13009717,20201,16,22,18,56,1092642,881025.0,592611.0
15173776,20212,0,1,0,1,1354,1312.0,124.0
15581638,20201,132,616,10,758,93209,621.0,92592.0
17351180,20201,4,11,4,19,1992724,218021.0,1812373.0
17453575,20213,0,1,0,1,187,175.0,24.0
20443996,20202,0,1,0,1,44089,6.0,44083.0
23862762,20201,11,6,2,19,1163474,1163474.0,0.0
23903068,20214,0,1,0,1,726,716.0,700.0
27098060,20201,49,75,79,203,1279978,4988.0,1279762.0
27214112,20201,0,0,2,2,7735,19.0,7724.0
27351731,20201,9,38,34,81,5275046,17.0,5275031.0
29030467,20201,0,0,1,1,254,247.0,9.0
31880826,20214,1,0,0,1,2296,2240.0,378.0
33042151,20202,1,0,0,1,226,212.0,25.0
33132044,20213,0,1,0,1,18022,2815.0,15434.0
36321990,20201,2,0,0,2,370789,134.0,370655.0
36583700,20212,1,0,2,3,5554,0.0,5554.0
37122487,20214,0,0,1,1,2813,0.0,2813.0
41498340,20213,1,0,0,1,129,0.0,129.0
43180355,20201,39,34,25,98,2702654,0.0,2702654.0
45283173,20201,0,0,2,2,0,0.0,0.0
53518684,20213,0,0,2,2,3087,3074.0,58.0
54403563,20201,1,0,0,1,11281,2852.0,8499.0
57839805,20202,0,1,0,1,676,658.0,155.0
58616418,20201,1,0,0,1,165324,3889.0,161868.0
59118133,20201,1,0,0,1,10401,4834.0,5948.0
60518222,20212,0,0,1,1,1063,1023.0,126.0
61348538,20202,4,0,0,4,38706,611.0,38097.0
61820817,20203,0,1,0,1,24424,9146.0,15539.0
62237425,20211,0,2,0,2,6907,185.0,6739.0
62331228,20201,0,1,0,1,3182,3166.0,167.0
74828799,20201,39,28,3,70,73173,3091.0,70510.0
78632767,20202,0,0,1,1,38281,35380.0,2929.0
91884981,20202,0,1,0,1,14489,254.0,14302.0
92874270,20201,39,17,27,83,238631,118222.0,155136.0
