cnpj,nome_instituicao,codigo_grupo
14388334,PARANÁ BANCO S.A.,1
2801938,BANCO MORGAN STANLEY S.A.,1
60394079,BANCO ITAUBANK S.A.,1
7450604,CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A,1
33147315,BANCO BRADESCO BERJ S.A.,1
10690848,BANCO DA CHINA BRASIL S.A.,1
17192451,BANCO ITAUCARD S.A.,1
3012230,HIPERCARD BANCO MÚLTIPLO S.A.,1
556603,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,1
2318507,BANCO KEB HANA DO BRASIL S.A.,1
61820817,BANCO PAULISTA S.A.,1
3323840,BANCO ALFA S.A.,1
17184037,BANCO MERCANTIL DO BRASIL S.A.,1
558456,BANCO CETELEM S.A.,1
50585090,BCV - BANCO DE CRÉDITO E VAREJO S.A.,1
2658435,BANCO CATERPILLAR S.A.,1
10371492,BANCO YAMAHA MOTOR DO BRASIL S.A.,1
8609934,MONEYCORP BANCO DE CÂMBIO S.A.,1
61533584,BANCO SOCIETE GENERALE BRASIL S.A.,1
28811341,STONEX BANCO DE CÂMBIO S.A.,1
59285411,BANCO PAN S.A.,1
997185,BANCO B3 S.A.,1
60701190,ITAÚ UNIBANCO S.A.,1
3502961,BANCO PSA FINANCE BRASIL S.A.,1
9526594,BANCO VIPAL S.A.,1
13720915,BANCO WESTERN UNION DO BRASIL S.A.,1
33132044,BANCO CEDULA S.A.,1
4866275,BANCO INBURSA S.A.,1
54403563,BANCO ARBI S.A.,1
11476673,BANCO RANDON S.A.,1
3609817,BANCO CARGILL S.A.,1
4332281,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.,1
17453575,ICBC DO BRASIL BANCO MÚLTIPLO S.A.,1
31597552,BANCO CLASSICO S.A.,1
33603457,BANCO RODOBENS S.A.,1
28517628,BANCO PACCAR S.A.,1
60814191,BANCO MERCEDES-BENZ DO BRASIL S.A.,1
78626983,BANCO VR S.A.,1
11970623,BANCO SENFF S.A.,1
62232889,BANCO DAYCOVAL S.A.,1
1522368,BANCO BNP PARIBAS BRASIL S.A.,1
34270520,BANCO IBM S.A.,1
3215790,BANCO TOYOTA DO BRASIL S.A.,1
44189447,BANCO DE LA PROVINCIA DE BUENOS AIRES,1
45246410,BANCO GENIAL S.A.,1
60889128,BANCO SOFISA S.A.,1
30723886,BANCO MODAL S.A.,1
31880826,BANCO GUANABARA S.A.,1
78632767,BANCO OURINVEST S.A.,1
8357240,BANCO CSF S.A.,1
10264663,BANCOSEGURO S.A.,1
33644196,BANCO FATOR S.A.,1
17351180,BANCO TRIANGULO S.A.,1
68900810,BANCO RENDIMENTO S.A.,1
46518205,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",1
30172491,BANCO HYUNDAI CAPITAL BRASIL S.A.,1
90400888,BANCO SANTANDER (BRASIL) S.A.,1
33264668,BANCO XP S.A.,1
71027866,BANCO BS2 S.A.,1
27098060,BANCO DIGIO S.A.,1
62073200,BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.,1
60746948,BANCO BRADESCO S.A.,1
1701201,KIRTON BANK S.A. - BANCO MÚLTIPLO,1
23522214,COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO,1
53518684,BANCO HSBC S.A.,1
61024352,BANCO VOITER S.A.,1
62237425,BANCO FIDIS S/A,1
19307785,MS BANK S.A. BANCO DE CÂMBIO,1
60872504,ITAÚ UNIBANCO HOLDING S.A.,1
1852137,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA,1
2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,1
5040481,BANCO DE LAGE LANDEN BRASIL S.A.,1
1181521,BANCO COOPERATIVO SICREDI S.A.,1
30306294,BANCO BTG PACTUAL S.A.,1
9516419,PICPAY BANK - BANCO MÚLTIPLO S.A,1
33254319,BANCO LOSANGO S.A. - BANCO MÚLTIPLO,1
7207996,BANCO BRADESCO FINANCIAMENTOS S.A.,1
6271464,BANCO BRADESCO BBI S.A.,1
4184779,BANCO BRADESCARD S.A.,1
31895683,BANCO INDUSTRIAL DO BRASIL S.A.,1
31872495,BANCO C6 S.A.,1
10866788,BANCO BANDEPE S.A.,1
61033106,BANCO CREFISA S.A.,1
74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,1
57839805,BANCO TRICURY S.A.,1
1858774,BANCO BV S.A.,1
33042151,BANCO DE LA NACION ARGENTINA,1
33042953,CITIBANK N.A.,1
43818780,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.,1
1023570,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,1
13059145,BEXS BANCO DE CÂMBIO S/A,1
48795256,BANCO ANDBANK (BRASIL) S.A.,1
49336860,ING BANK N.V.,1
23903068,BANCO KOMATSU DO BRASIL S.A.,1
33885724,BANCO ITAÚ CONSIGNADO S.A.,1
7656500,BANCO KDB DO BRASIL S.A.,1
33923798,BANCO MASTER S/A,1
4814563,BANCO SOROCRED S.A. - BANCO MÚLTIPLO,1
59274605,BANCO GM S.A.,1
59109165,BANCO VOLKSWAGEN S.A.,1
59118133,BANCO LUSO BRASILEIRO S.A.,1
517645,BANCO RIBEIRAO PRETO S.A.,1
61348538,BANCO C6 CONSIGNADO S.A.,1
76543115,BANCO SISTEMA S.A.,1
29030467,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO,1
62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,1
91884981,BANCO JOHN DEERE S.A.,1
62307848,BANCO RCI BRASIL S.A.,1
62421979,BANCO CIFRA S.A.,1
55230916,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO,1
7679404,BANCO TOPÁZIO S.A.,1
75647891,BANCO CRÉDIT AGRICOLE BRASIL S.A.,1
61190658,BANCO ITAÚ VEÍCULOS S.A.,1
61182408,BANCO INVESTCRED UNIBANCO S.A.,1
61186680,BANCO BMG S.A.,1
58497702,BANCO LETSBANK S.A.,1
23511655,DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.,1
10664513,BANCO AGIBANK S.A.,1
7441209,BANCO MONEO S.A.,1
15357060,BANCO WOORI BANK DO BRASIL S.A.,1
58616418,BANCO FIBRA S.A.,1
36658769,BANCO XCMG BRASIL S.A.,1
80271455,BANCO RNX S.A.,1
9274232,STATE STREET BRASIL S.A. - BANCO COMERCIAL,1
33479023,BANCO CITIBANK S.A.,1
60498557,BANCO MUFG BRASIL S.A.,1
17298092,BANCO ITAÚ BBA S.A.,1
42272526,BNY MELLON BANCO S.A.,1
3532415,BANCO ABN AMRO S.A.,1
92894922,BANCO ORIGINAL S.A.,1
15114366,BANCO BOCOM BBM S.A.,1
59588111,BANCO VOTORANTIM S.A.,1
49925225,BANCO ITAULEASING S.A.,1
32062580,BANCO CREDIT SUISSE (BRASIL) S.A.,1
62144175,BANCO PINE S.A.,1
33466988,BANCO CAIXA GERAL - BRASIL S.A.,1
61088183,BANCO MIZUHO DO BRASIL S.A.,1
28195667,BANCO ABC BRASIL S.A.,1
60850229,OMNI BANCO S.A.,1
58160789,BANCO SAFRA S.A.,1
33172537,BANCO J.P. MORGAN S.A.,1
795423,BANCO SEMEAR S.A.,1
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,1
15173776,SOCIAL BANK BANCO MÚLTIPLO S/A,1
11417016,SCANIA BANCO S.A.,1
11758741,BANCO FINAXIS S.A.,1
3634220,BANCO HONDA S.A.,1
2038232,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,1
416968,BANCO INTER S.A.,1
58017179,BANCO VOLVO BRASIL S.A.,1
92874270,BANCO DIGIMAIS S.A.,1
3017677,BANCO J. SAFRA S.A.,1
60518222,BANCO SUMITOMO MITSUI BRASILEIRO S.A.,1
4902979,BANCO DA AMAZONIA S.A.,2
4913711,BANCO DO ESTADO DO PARÁ S.A.,2
7237373,BANCO DO NORDESTE DO BRASIL S.A.,2
28127603,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO,2
92702067,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,2
0,BANCO DO BRASIL S.A.,2
208,BRB - BANCO DE BRASILIA S.A.,2
13009717,BANCO DO ESTADO DE SERGIPE S.A.,2
360305,CAIXA ECONOMICA FEDERAL,2
6910457,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,4
21866694,COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR,4
259231,SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO,4
19449602,COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER,4
3165497,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA SANEPAR - CREDISANEPAR,4
21130869,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA - COOPCREDER,4
90278987,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA ASCAR/EMATER-RS LTDA-CRESAL,4
2814832,COOPERATIVA DE CRÉDITO COOPHARMA,4
8253539,COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL,4
913314,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA REFRATÁRIOS S.A. LTDA. - CECREM,4
44905255,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO LORENZETTI,4
7469260,COOPERATIVA DE CRÉDITO CREDIFIEMG LTDA. - SICOOB CREDIFIEMG,4
1060307,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.   SICOOB UNIÃO,4
68987,COOPERATIVA DE CRÉDITO SICOOB ARACREDI LTDA - SICOOB ARACREDI,4
85291086,COOPERATIVA DE CRÉDITO LITORÂNEA,4
7108146,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.,4
2528151,COOPERATIVA DE CRÉDITO SICOOB CREDCOOP LTDA.,4
73254757,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE QUILOMBO - CRESOL QUILOMBO,4
5048575,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO MAUA LTDA,4
1530136,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMPANHIA PAULISTA DE TRENS METROPOLITANOS - COOPERTREM,4
3000142,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI POL RS/SC",4
31804966,COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS,4
1330295,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NO ESTADO DO ESPÍRITO SANTO,4
78483310,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC/RS,4
26563270,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE,4
33579731,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO-SUL GOIANO LTDA,4
1073966,COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,4
45691128,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA JOHNSON & JOHNSON,4
57038408,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BOMBRIL,4
71238232,COOPERATIVA DE CRÉDITO DO CENTRO SUL MINEIRO LTDA. - SICOOB CENTRO SUL MINEIRO,4
1090027,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA,4
21670187,COOPERATIVA DE CRÉDITO CREDIBOM LTDA. - SICOOB CREDIBOM,4
71336432,SICOOB CREDIMED - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA CIDADE DE UBERABA LTDA.,4
71243034,COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA. - SICOOB CREDIJEQUITINHONHA,4
1720488,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E MICRORREGIÕES LTDA.,4
7202627,COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA -  CRESOL CENTRAL BRASIL,4
86774775,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT,4
1107759,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA USINA SANTA MARIA - PILONCRED,4
71261184,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CAPARAÓ LTDA. - SICOOB SAÚDE,4
82096447,CREDIBRF - COOPERATIVA DE CRÉDITO,4
2674113,COOPERATIVA DE CRÉDITO DE SERVIDORES PÚBLICOS COOPERPLAN LTDA. - SICOOB COOPERPLAN,4
1705236,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED PROSPERAR LTDA. - UNICRED PROSPERAR,4
41697103,COOPERATIVA DE CRÉDITO CREDILIVRE LTDA. - SICOOB CREDILIVRE,4
