fk_cnpj,quantidade_reclamacoes_reguladas_procedentes,quantidade_reclamacoes_reguladas_outras,quantidade_reclamacoes_nao_reguladas,quantidade_total_reclamacoes,quantidade_total_clientes_ccs_e_scr,quantidade_clientes_ccs,quantidade_clientes_scr,fk_calendario
36321990,2,0,0,2,370789,134,370655,20201
27214112,0,0,2,2,7735,19,7724,20201
23862762,11,6,2,19,1163474,1163474, ,20201
92874270,39,17,27,83,238631,118222,155136,20201
3532415,0,0,1,1,227,194,42,20201
54403563,1,0,0,1,11281,2852,8499,20201
2658435,1,0,0,1,2872, ,2872,20201
2992446,0,0,1,1,26616,1233,25709,20201
8357240,92,103,107,302,7400252, ,7400252,20201
4902979,2,3,4,9,509203,448523,153961,20201
27098060,49,75,79,203,1279978,4988,1279762,20201
13009717,16,22,18,56,1092642,881025,592611,20201
4913711,16,15,20,51,733076,704863,281553,20201
7237373,18,9,32,59,7989745,7402656,2950060,20201
58616418,1,0,0,1,165324,3889,161868,20201
4866275,1,1,4,6,11309,9,11301,20201
59118133,1,0,0,1,10401,4834,5948,20201
7441209,0,0,1,1,1240,6,1237,20201
795423,0,1,1,2,260283,2973,257423,20201
7679404,3,1,3,7,21862,16221,8903,20201
3215790,5,5,8,18,182525,15287,168415,20201
17351180,4,11,4,19,1992724,218021,1812373,20201
9526594,0,0,1,1,436,4,432,20201
10264663,0,3,0,3,192087,190124,1963,20201
45283173,0,0,2,2,0, ,0,20201
9313766,2,2,1,5,64401,55868,18531,20201
62331228,0,1,0,1,3182,3166,167,20201
15581638,132,616,10,758,93209,621,92592,20201
411939,0,0,6,6,100768,1869,98981,20201
4230630,2,4,2,8,127758, ,127758,20201
6040559,0,1,0,1,260710,4,260706,20201
11271860,1,0,0,1,219567,3,219564,20201
9464032,63,108,81,252,11541042,45,11541025,20201
4379829,1,2,0,3,582196,665,581531,20201
74828799,39,28,3,70,73173,3091,70510,20201
43180355,39,34,25,98,2702654, ,2702654,20201
1800019,19,60,32,111,252491,3783,248712,20201
27351731,9,38,34,81,5275046,17,5275031,20201
5503849,3,1,1,5,29726,1220,28507,20201
122327,3,3,2,8,14676,765,13911,20201
7747410,6,4,0,10,797529, ,797529,20201
29030467,0,0,1,1,254,247,9,20201
11970623,0,2,0,2,78008,76,77937,20201
3881423,0,0,8,8,5969,3124,2845,20201
5192316,1,0,0,1,441930,993,440939,20201
02992446,1,0,5,6,26121,1239,25195,20202
08357240,122,143,122,387,7350474, ,7350474,20202
04902979,2,5,12,19,508852,448971,152171,20202
33042151,1,0,0,1,226,212,25,20202
05040481,0,0,2,2,35889,2,35887,20202
04913711,15,19,25,59,772617,719581,309266,20202
07237373,7,23,44,74,8061030,7476513,2934554,20202
61348538,4,0,0,4,38706,611,38097,20202
90731688,1,1,2,4,402,186,229,20202
04866275,1,0,2,3,11904,7,11897,20202
91884981,0,1,0,1,14489,254,14302,20202
07441209,1,0,0,1,1234,4,1232,20202
78632767,0,0,1,1,38281,35380,2929,20202
00517645,1,0,1,2,4865,4592,2892,20202
00795423,0,3,4,7,255199,2832,252479,20202
07679404,0,0,2,2,21801,16650,8096,20202
03215790,8,5,43,56,175692,15287,161520,20202
57839805,0,1,0,1,676,658,155,20202
20443996,0,1,0,1,44089,6,44083,20202
11285104,0,0,3,3,10899,10,10889,20202
09313766,2,3,2,7,63739,56525,12876,20202
00411939,0,0,6,6,97339,1771,95637,20202
04230630,0,3,5,8,125684, ,125684,20202
06040559,0,1,0,1,265138,4,265135,20202
09464032,35,135,107,277,11177083,77,11177064,20202
04379829,1,1,0,2,580365,670,579695,20202
03311443,0,1,0,1,1009, ,1009,20202
01800019,14,17,30,61,251875,3783,248096,20202
05503849,7,1,4,12,29536,1243,28294,20202
07747410,5,4,7,16,809031, ,809031,20202
03881423,4,2,6,12,5517,2824,2694,20202
05192316,4,1,1,6,414053,993,413062,20202
03532415,0,0,1,1,140,104,43,20203
61820817,0,1,0,1,24424,9146,15539,20203
05676026,0,1,0,1,277460, ,277460,20203
06339468,0,0,1,1,110696,1,110695,20203
00122327,2,3,0,5,14244,718,13526,20203
09473806,0,0,1,1,36019,4,36015,20203
10690848,0,1,0,1,469,452,32,20211
62237425,0,2,0,2,6907,185,6739,20211
15173776,0,1,0,1,1354,1312,124,20212
60518222,0,0,1,1,1063,1023,126,20212
36583700,1,0,2,3,5554, ,5554,20212
33132044,0,1,0,1,18022,2815,15434,20213
53518684,0,0,2,2,3087,3074,58,20213
12865507,0,0,1,1,6482,715,5970,20213
17453575,0,1,0,1,187,175,24,20213
41498340,1,0,0,1,129, ,129,20213
13140088,42,28,5,75,2011869,2011869, ,20214
19540550,0,3,1,4,249654,249654, ,20214
31880826,1,0,0,1,2296,2240,378,20214
23903068,0,1,0,1,726,716,700,20214
01023570,0,1,0,1,3933,3748,1744,20214
13370835,32,25,4,61,1898746,1898746, ,20214
37122487,0,0,1,1,2813, ,2813,20214
13935893,4,4,6,14,0,0,0,20214
01027058,28,23,47,98,122732,122628,104,20214
62895230,0,1,0,1,724468, ,724468,20214
21018182,48,26,4,78,470025,470023,2,20214
39321657,0,0,2,2,0,0,0,20214
13203354,1,1,0,2,582,582, ,20214
02732968,13,6,5,24,622170, ,622170,20214
13884775,9,17,3,29,2657176,2657176, ,20214
15111975,1,1,1,3,0,0,0,20214
20855875,210,108,47,365,647641, ,647641,20214
10878448,32,58,9,99,8746269,8746267,3,20214
65697260,1,0,1,2,264544,264542,4,20214
01722480,2,7,2,11,435518, ,435518,20214
